,time,current,voltage
0,0.19150876998901367,0.1515,-0.778492
1,0.32614779472351074,0.1505,-0.778492
2,0.3762476444244385,0.1505,-0.778492
3,0.4281330108642578,0.1505,-0.778492
4,0.47697901725769043,0.1496,-0.7759179999999999
5,0.526848554611206,0.1515,-0.778492
6,0.5757181644439697,0.1505,-0.778492
7,0.6266844272613525,0.1515,-0.778492
8,0.6784429550170898,0.1515,-0.778492
9,0.7283098697662354,0.1496,-0.778492
10,0.7767667770385742,0.1515,-0.778492
11,0.8287296295166016,0.1505,-0.778492
12,0.879331111907959,0.1505,-0.778492
13,0.9322893619537354,0.1496,-0.778492
14,0.9932413101196289,0.1496,-0.778492
15,1.0404720306396484,0.1525,-0.778492
16,1.0902440547943115,0.1505,-0.7759179999999999
17,1.1391122341156006,0.1505,-0.778492
18,1.1886951923370361,0.1505,-0.778492
19,1.2375636100769043,0.1515,-0.778492
20,1.2868967056274414,0.1505,-0.7759179999999999
21,1.3387608528137207,0.1505,-0.778492
22,1.386634349822998,0.1515,-0.778492
23,1.437497854232788,0.1515,-0.7759179999999999
24,1.4863779544830322,0.1505,-0.778492
25,1.5373332500457764,0.1515,-0.778492
26,1.58709716796875,0.1515,-0.778492
27,1.6359665393829346,0.1525,-0.778492
28,1.6848328113555908,0.1515,-0.778492
29,1.7347033023834229,0.1505,-0.778492
30,1.7865653038024902,0.1505,-0.778492
31,1.8414177894592285,0.1515,-0.778492
32,1.890385389328003,0.1505,-0.7759179999999999
33,1.940181016921997,0.1515,-0.778492
34,1.99507474899292,0.1515,-0.778492
35,2.0431478023529053,0.1505,-0.778492
36,2.0920181274414062,0.1525,-0.778492
37,2.1407856941223145,0.1505,-0.778492
38,2.1908586025238037,0.1505,-0.778492
39,2.2396395206451416,0.1525,-0.778492
40,2.2886385917663574,0.1505,-0.778492
41,2.337505340576172,0.1515,-0.778492
42,2.3872766494750977,0.1505,-0.778492
43,2.4362359046936035,0.1525,-0.778492
44,2.485145330429077,0.1505,-0.778492
45,2.5341203212738037,0.1515,-0.778492
46,2.5821404457092285,0.1515,-0.778492
47,2.6389896869659424,0.1515,-0.778492
48,2.688754081726074,0.1505,-0.7759179999999999
49,2.739612579345703,0.1505,-0.778492
50,2.788485050201416,0.1515,-0.778492
51,2.8368170261383057,0.1525,-0.778492
52,2.885817527770996,0.1535,-0.778492
53,2.9346871376037598,0.1515,-0.778492
54,2.9855477809906006,0.1525,-0.778492
55,3.0344722270965576,0.1505,-0.778492
56,3.083592653274536,0.1525,-0.778492
57,3.140423059463501,0.1554,-0.7701979999999999
58,3.190284252166748,0.1632,-0.7533239999999999
59,3.239259719848633,0.1642,-0.7507499999999998
60,3.2881243228912354,0.172,-0.7310160000000001
61,3.338012456893921,0.174,-0.7255820000000001
62,3.3860199451446533,0.1808,-0.717002
63,3.4350767135620117,0.1877,-0.691834
64,3.4838414192199707,0.1887,-0.694694
65,3.533815622329712,0.1965,-0.6752459999999999
66,3.583458185195923,0.1984,-0.6752459999999999
67,3.6318490505218506,0.2053,-0.6612319999999998
68,3.681316375732422,0.2072,-0.6414980000000001
69,3.7301857471466064,0.2131,-0.6414980000000001
70,3.7816874980926514,0.2209,-0.6220500000000001
71,3.8315510749816895,0.2219,-0.61633
72,3.8805654048919678,0.2278,-0.605176
73,3.9305708408355713,0.2356,-0.591162
74,3.979435920715332,0.2366,-0.5885879999999999
75,4.028414011001587,0.2444,-0.5717139999999998
76,4.077178001403809,0.2454,-0.5634199999999998
77,4.128183126449585,0.2532,-0.5522660000000001
78,4.1771581172943115,0.26,-0.5325320000000001
79,4.22598671913147,0.26,-0.5325320000000001
80,4.275956630706787,0.2688,-0.518518
81,4.325074195861816,0.2698,-0.510224
82,4.374237298965454,0.2766,-0.49906999999999996
83,4.424766302108765,0.2835,-0.4793359999999999
84,4.473708629608154,0.2845,-0.4821959999999999
85,4.525466203689575,0.2913,-0.46274800000000016
86,4.582313299179077,0.2972,-0.4487340000000001
87,4.64416766166687,0.2991,-0.4458740000000001
88,4.692540645599365,0.3069,-0.426426
89,4.742114543914795,0.3089,-0.423566
90,4.791211843490601,0.3157,-0.40955199999999997
91,4.840742588043213,0.3177,-0.4041179999999999
